"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CHAMP1",0.395382767876775,9.59374033986289,2.62988437692072,0.0138723582607026,0.137258137067962,-3.28798616133462
"CRKL",0.310412255768638,10.1443273364079,2.62961606013381,0.0138810505046686,0.137258137067962,-3.28854935153564
"LPP",-0.35254979007672,10.5038666487745,-2.62959885292808,0.0138816081129841,0.137258137067962,-3.28858546788863
"CPSF6",0.228335876013634,11.2091541837299,2.62950637650255,0.0138846052163466,0.137258137067962,-3.28877956510484
"CRYBB1",-0.625442429359268,3.47506647375576,-2.62937138544688,0.0138889812745886,0.137258137067962,-3.28906288843882
"ZNF532",0.677336299855385,8.60552146460606,2.6280111938654,0.0139331468911313,0.137627734636145,-3.2919172278334
"NUSAP1",-0.521488751277387,7.77904778910569,-2.62781357419793,0.0139395745032199,0.137627734636145,-3.29233185793275
"PLPBP",-0.488074895601834,11.1447594532299,-2.62741767717198,0.0139524594283351,0.137632746409829,-3.29316244346559
"LYSMD2",0.298808527253268,11.9000296447227,2.62739257728965,0.0139532767067773,0.137632746409829,-3.29321510015629
"EVC",0.551034481585112,7.19319147856938,2.6260710585636,0.0139963697686791,0.137935461862034,-3.29598708216153
"LOC100287387",-1.32211211381799,4.60578132682506,-2.62604594897334,0.0139971897594634,0.137935461862034,-3.29603974349986
"SH3BGRL",0.332451399715927,13.0343267335732,2.62514591551837,0.014026611242538,0.138160133966868,-3.29792715398049
"P3H2",-0.545252440815357,3.85974225685904,-2.62469013911203,0.0140415322214434,0.138241833508141,-3.29888279377148
"KDM6A",0.57916465034997,9.09639302210396,2.62400874573921,0.014063866904551,0.138248416472252,-3.30031131095889
"TPSD1",-1.10719737789962,5.37216342262232,-2.62400811953455,0.0140638874454675,0.138248416472252,-3.30031262367547
"PTER",-0.499849616611021,9.74562575201668,-2.62393530804226,0.0140662760161151,0.138248416472252,-3.30046525759805
"C11orf1",0.275867981292302,10.9421664135667,2.62386118226133,0.0140687080898567,0.138248416472252,-3.30062064411347
"AKAP14",-0.280299784339453,13.5190124549033,-2.62359993909297,0.0140772826246184,0.138267547135023,-3.30116825592882
"CSRNP2",0.351784763951365,9.30309457918606,2.62324754618629,0.0140888565895644,0.138316106433644,-3.30190688333589
"CLDN4",0.474805763896528,10.6823123844921,2.62264622976998,0.0141086266406647,0.138445046555761,-3.30316712922716
"TFDP1",0.310105820441869,10.8220707751003,2.62198850011812,0.0141302810214271,0.138592347282093,-3.30454541367646
"CFAP107",0.439546298948448,11.6975884402701,2.62133604738041,0.0141517922410951,0.138706310932444,-3.30591244100173
"ZNRF3",0.402480286857765,8.7432046040034,2.62123283945742,0.0141551977746703,0.138706310932444,-3.30612866537869
"TP53TG5",-1.05652595020131,6.05887854992667,-2.6206838059563,0.0141733269649155,0.138734227389549,-3.30727882714696
"WDR37",0.326374360430925,9.78569401710069,2.62035908782137,0.0141840593900125,0.138734227389549,-3.30795900795057
"HAUS5",0.308053051653438,8.89346111580018,2.62017501555598,0.0141901466161324,0.138734227389549,-3.30834455871787
"FAM98B",0.373640550584744,10.7087592565389,2.61998576225559,0.0141964077134642,0.138734227389549,-3.30874094499749
"SH3GL1",0.463023391004352,9.05309116377845,2.61994669234318,0.0141977005898801,0.138734227389549,-3.30882277386503
"RSPH6A",-0.845010688494494,5.87577425624873,-2.61977834613845,0.0142032726480167,0.138734227389549,-3.30917535363934
"KHDRBS3",0.446378183306834,8.66824440978532,2.61973833283752,0.014204597339856,0.138734227389549,-3.30925915447737
"ESRP1",-0.239507086186768,11.7762283899603,-2.61934155530583,0.0142177393972825,0.138780189756727,-3.31009009494448
"PDCD2L",0.324058623067366,8.88642233669398,2.61909041842643,0.0142260633963997,0.138780189756727,-3.31061599348209
"ABCC11",-0.868631630992682,4.65647757265083,-2.61899400709625,0.014229260180694,0.138780189756727,-3.31081787786032
"HOXC11",-0.87520218875734,5.12924996979684,-2.61855796975086,0.0142437265578308,0.138856366097882,-3.31173088156083
"SOSTDC1",-1.17084795830093,6.3674991829621,-2.61826780277584,0.0142533609904432,0.138885388595342,-3.31233840305982
"SHFL",0.465814176209362,9.31602427439988,2.61768557483664,0.0142727110417273,0.139009009221529,-3.31355729283041
"GUCA1A",-0.852277403902824,6.4117246009749,-2.61642067407935,0.0143148336726704,0.139290677913267,-3.31620480688348
"DUSP28",-0.312139300230166,10.0927983513782,-2.61636038742075,0.0143168441726888,0.139290677913267,-3.31633097183927
"HDAC9",-0.453377239875891,8.62153015864401,-2.61618201325533,0.014322794312703,0.139290677913267,-3.31670425456831
"MAGEA6",-1.21511836301923,3.60885573997952,-2.61601587514628,0.0143283383569107,0.139290677913267,-3.31705191757535
"SDF2L1",-0.393707614263676,9.77807655488069,-2.61553823777927,0.0143442882873751,0.139380783535733,-3.31805135649533
"LPAR3",0.408761365526225,11.7076671806052,2.61484519869387,0.0143674605953787,0.139534266577933,-3.31950132587171
"LYNX1",0.944295108283658,6.88738682975655,2.61447283519916,0.0143799252447096,0.139534266577933,-3.32028028815465
"CIART",0.799156056461901,7.85500641904065,2.61409042398752,0.0143927367092936,0.139534266577933,-3.32108020208292
"CHRD",-1.26160637710302,5.60130230736373,-2.61386788199239,0.0144001971554722,0.139534266577933,-3.32154567584395
"FOLH1B",-0.871628677917021,6.96246834072636,-2.61372980264245,0.0144048279044664,0.139534266577933,-3.32183447400462
"RANBP1",0.330331008108455,11.1948814125885,2.61369872089949,0.0144058704798451,0.139534266577933,-3.32189948140902
"RUNX2",0.428621103542261,9.81151357697259,2.61366794124362,0.0144069029915094,0.139534266577933,-3.32196385655286
"RNF175",-0.647623883844196,7.33486055200953,-2.6130918745746,0.0144262400094025,0.13962622041498,-3.32316860861327
"CTSG",-1.10193219009787,5.52654462554251,-2.61284879115356,0.014434406913328,0.13962622041498,-3.32367693237201
"TH2LCRR",-1.26799979567075,4.88075608803754,-2.6126507027531,0.0144410652950378,0.13962622041498,-3.32409114433754
"TBL1X",0.354173100303109,10.5485297658189,2.61236266601655,0.0144507522259356,0.13962622041498,-3.32469340959428
"TAS1R1",-1.17081650533413,5.43680347040589,-2.61233381984616,0.0144517226812284,0.13962622041498,-3.32475372283493
"RSBN1L",0.369851680726303,9.97030219653248,2.61219022943792,0.0144565543138892,0.13962622041498,-3.32505394415655
"TBX5",-1.23195167151728,5.60880666658226,-2.61043809258068,0.014515632657767,0.140082809787427,-3.32871656333757
"TRIM45",0.36154238040927,7.90775258682025,2.61019479670892,0.0145238538169767,0.140082809787427,-3.3292250284943
"ZNF579",0.938092911707398,7.61650662907371,2.60979378592515,0.0145374137419842,0.140082809787427,-3.33006304211633
"PSMB9",0.502596189577101,10.7745244034426,2.6095878930708,0.0145443804531618,0.140082809787427,-3.33049327805714
"FANCD2",-0.473701083033862,7.65816757855047,-2.60951723983124,0.0145467718332347,0.140082809787427,-3.33064091124456
"USP44",-1.16735034923092,5.1711331417156,-2.60940523496307,0.0145505635796668,0.140082809787427,-3.33087494575385
"LINC00314",-1.57279071883988,3.04908962766111,-2.60927171335088,0.0145550849425569,0.140082809787427,-3.33115393186554
"GLRX",-0.713728737634229,11.6659235633425,-2.60880178372476,0.0145710082865623,0.140082809787427,-3.33213575753015
"IRF8",-0.661048376867978,8.90985947119059,-2.60870560026442,0.0145742694150077,0.140082809787427,-3.33233670118992
"ARMC8",0.26723916664614,9.16138844378573,2.60865306188625,0.0145760510308457,0.140082809787427,-3.33244646099043
"CYB5R1",0.414938952345457,12.2994929936926,2.60860471939016,0.0145776905401449,0.140082809787427,-3.33254745387816
"EAPP",0.299942154376868,11.4737065902761,2.60832509805632,0.0145871771109327,0.140109433189815,-3.33313159260855
"KCTD15",0.473765501743795,8.84565648424865,2.60782421874132,0.0146041845466508,0.140208236544974,-3.33417785511451
"LCE1E",-0.560060006177225,7.3210041895793,-2.60725248526269,0.0146236203890295,0.140330252325636,-3.33537197728941
"LOC101927131",-1.27127040283971,5.48454397899334,-2.60610131654908,0.0146628269024011,0.140641790730065,-3.33777584108994
"TRIM21",0.484854066371051,8.92822594632278,2.6051027646543,0.0146969147499462,0.140903968526369,-3.33986050624039
"MYL3",-0.925556255322922,4.49346130818552,-2.60433184653676,0.0147232821973836,0.141091921544243,-3.34146962184472
"BAIAP3",-0.614528734523791,10.2679144139326,-2.60346405818125,0.0147530154922891,0.141311941781513,-3.3432805969824
"CCDC85C",-0.495178293478361,7.91126316992636,-2.60248713600095,0.0147865548793353,0.141568200042539,-3.34531889721183
"HP1BP3",0.324205158022171,11.4139201214134,2.60225585927405,0.0147945053721601,0.14157934452936,-3.34580137887973
"SYNDIG1",-1.18090790211793,5.21363313207171,-2.6015337252497,0.0148193554275642,0.141752128807815,-3.34730770800999
"KLF14",-1.19027826281406,3.79557998965631,-2.60127919046865,0.0148281237178195,0.141770997709051,-3.34783859395278
"LINC02059",-1.68848428425823,2.78219560935381,-2.60099097192941,0.0148380581795265,0.141799422438697,-3.3484396975588
"TXNDC9",-0.330743315434374,11.6890490075919,-2.6007960726142,0.0148447795740516,0.141799422438697,-3.34884615398018
"REG3G",-1.41031536618196,4.90846946148691,-2.60040829629997,0.0148581610402729,0.141799422438697,-3.34965479600912
"CDC123",-0.314086733794435,10.8544856962798,-2.6004047114952,0.0148582847977659,0.141799422438697,-3.34966227118297
"TRRAP",0.372421193929261,10.1799982450171,2.60013904600284,0.0148674589817112,0.141822098434595,-3.35021623027527
"MRPL58",0.302503359213098,10.3252598585047,2.59983616831969,0.014877924632645,0.141857067498282,-3.35084774264092
"CACNG1",-1.1394672912077,5.00419592201053,-2.59937886610275,0.014893739254724,0.141942982335337,-3.35180115437264
"SERPINB6",-0.284050290602417,12.3678838258248,-2.59901159268669,0.0149064517761631,0.141999268015669,-3.35256679698938
"NDUFB10",0.483246300299879,12.2515596689301,2.59865110960945,0.0149189390704798,0.142035445614118,-3.3533182220224
"CNOT6L",-0.415001363638632,10.5973804136201,-2.59838562474623,0.0149281418016289,0.142035445614118,-3.35387158451307
"AZIN1",0.263022335090781,13.8233274960594,2.59831258580557,0.0149306745389589,0.142035445614118,-3.35402381714133
"POC1B",-0.439743639153095,10.2606896131979,-2.59797351208146,0.0149424376729897,0.142051672058217,-3.35473050416192
"KMT2B",0.505293071689042,8.76987015059834,2.59769563586,0.0149520841675795,0.142051672058217,-3.35530960469656
"APLF",-0.648790275346769,5.62992276382164,-2.59767480386595,0.0149528075850754,0.142051672058217,-3.35535301758714
"OR10C1",-1.15036781280797,4.6730627376263,-2.59723400835858,0.0149681223993754,0.142106845633881,-3.3562715664576
"NAV2-AS2",-0.893818405460165,3.62514807970778,-2.59711559920148,0.0149722388411116,0.142106845633881,-3.35651829695277
"FCHSD2",0.331980343582982,8.98260502914373,2.59664350767729,0.0149886613563906,0.142196058827969,-3.35750193343095
"SKAP1",0.5838557826752,7.39463518890386,2.59639734412959,0.0149972312183731,0.142196058827969,-3.35801479096436
"SUGCT",1.04982515666062,4.76471537507739,2.59625794167085,0.0150020863522366,0.142196058827969,-3.35830520955223
