"","symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","g","ENTREZID"
"4128","DDO",-0.117552633466339,8.45165947863437,-0.621131960335504,0.539669733458068,0.78604970881814,-6.19009323574231,"stable","8528"
"4129","DDOST",0.315812795217894,12.1625516327254,2.20648552020839,0.0359503653872967,0.222858061554882,-4.13155953474947,"stable","1650"
"4130","DDR1",0.127081468534367,13.22954244677,0.678263615008781,0.503319088438976,0.761859935615934,-6.15327810165961,"stable","780"
"4131","DDR1-DT",-1.04001033012763,6.23162217210004,-1.99530631294352,0.0560874846566691,0.278926604268756,-4.51449965711327,"stable","414771"
"4132","DDR2",0.188898852932251,8.01828425533244,1.03070156169518,0.311734803834325,0.61530553474299,-5.85828062332937,"stable","4921"
"4133","DDRGK1",0.0492896457659775,10.3520496098675,0.308425964300871,0.760101690046025,0.90488709528305,-6.3352296836585,"stable","65992"
"4134","DDX1",0.117761928247587,12.1331437991308,1.28104862078937,0.210962559134553,0.516734738930803,-5.58084120365578,"stable","1653"
"4135","DDX10",0.077627555534443,9.13317682529481,0.69999681249983,0.489857532511794,0.753771511089764,-6.13845211577692,"stable","1662"
"4136","DDX11",0.0349203702108731,8.46690298239412,0.0763667222502025,0.939684787789651,0.977067475615126,-6.38013312188239,"stable","1663"
"4137","DDX11-AS1",-0.750029482945666,3.31401298481016,-1.3176927754677,0.198568406343223,0.504110751460978,-5.53573824202585,"stable","100506660"
"4138","DDX11L2",-0.322626767299186,6.81875036566445,-0.872675668602199,0.390458281646399,0.679321213552429,-6.00478354246409,"stable","84771"
"4139","DDX17",0.144504171748126,14.2009707716943,1.27692402337026,0.212393848722541,0.517842932633202,-5.58584767444241,"stable","10521"
"4140","DDX18",-0.00140510355603496,11.5030963602347,-0.011853755445103,0.990628577296944,0.996429796103584,-6.38300024681262,"stable","8886"
"4141","DDX19A",-0.0167717735419348,9.65184306019228,-0.101562783610579,0.919846711921896,0.970426609497456,-6.37787510299809,"stable","55308"
"4142","DDX19A-DT",0.000380028488589979,5.99873555511941,0.00124969339471126,0.999011985166575,0.999334008379563,-6.38307025289737,"stable","100506083"
"4143","DDX19B",0.490621620389842,7.70611654992898,2.48037814958111,0.0195825798586693,0.163086539325971,-3.59646393931074,"stable","11269"
"4144","DDX20",0.190792696009014,10.1569141112344,1.72951622049452,0.0950208826090471,0.356661686396175,-4.9552273281273,"stable","11218"
"4145","DDX21",0.0148659503554036,11.0652391305523,0.100581166578316,0.920618686494101,0.970675535226464,-6.37797503733046,"stable","9188"
"4146","DDX23",-0.0824363969559307,10.2141722812843,-0.664904681246408,0.51169497458813,0.767763273867777,-6.16216717554193,"stable","9416"
"4147","DDX24",-0.00856781456746347,11.9505374486587,-0.0745101002088596,0.941148321042729,0.977411945185833,-6.38027422348458,"stable","57062"
"4148","DDX25",0.108939474807054,5.28476808768815,0.233788031975463,0.81689549236965,0.930756067845724,-6.3555619227099,"stable","29118"
"4149","DDX27",-0.0781940097625995,9.99407028287748,-0.596984209283535,0.55544180035629,0.796423959574354,-6.20470860736142,"stable","55661"
"4150","DDX28",0.0187927175610678,8.40517435850634,0.131499623941897,0.89634532960472,0.962253141887999,-6.37436167247289,"stable","55794"
"4151","DDX31",-0.260573689749567,7.49018253850159,-1.82069350395995,0.079643014502937,0.328427074236069,-4.80951054908286,"stable","64794"
"4152","DDX39A",0.0973669141236773,11.0196188702236,0.832425471793501,0.412398717838294,0.696262764871081,-6.03843817889244,"stable","10212"
"4153","DDX3X",0.137267181324257,12.7229606050769,0.828247661455695,0.414719501484828,0.69818255648616,-6.04184510457464,"stable","1654"
"4154","DDX3Y",-0.688167481392245,11.0006349181886,-0.621498788478156,0.539431976867997,0.785937860610268,-6.18986687143645,"stable","8653"
"4155","DDX4",-0.619839217767191,3.27434439166887,-1.01146226074689,0.32068483512039,0.622807802845775,-5.87732648941417,"stable","54514"
"4156","DDX41",0.0793479908279036,10.2623768895909,0.5098477002621,0.614259367452502,0.831420159851691,-6.2527421345823,"stable","51428"
"4157","DDX42",0.0270278627248466,11.553092515343,0.267822081579248,0.790851365394964,0.919611013035491,-6.34698116264273,"stable","11325"
"4158","DDX43",0.499461461438305,5.11731038401747,0.946314884663596,0.352297225888849,0.648126358319518,-5.93934197214543,"stable","55510"
"4159","DDX46",-0.265475513953572,10.8903676618902,-2.03682858666779,0.0514802343263903,0.267026516289695,-4.44139371882297,"stable","9879"
"4160","DDX49",0.111002216523763,9.57258938288869,0.619641927176043,0.540636055140576,0.78659437335453,-6.19101137887136,"stable","54555"
"4161","DDX5",0.124500874230645,14.2683285106454,1.18409656830259,0.246591982312176,0.554807085737456,-5.69471569746035,"stable","1655"
"4162","DDX50",0.135666060776636,10.3190042364555,1.01890469984268,0.31720182590118,0.619786877582693,-5.86999821937035,"stable","79009"
"4163","DDX51",-0.0813832057523438,8.00089015017404,-0.453949992960113,0.653456642960447,0.853031042611833,-6.27964885382129,"stable","317781"
"4164","DDX52",0.10084983610977,8.70992027136007,0.823972927360637,0.417102546621512,0.699603407560403,-6.04531422014465,"stable","11056"
"4165","DDX53",-0.446518238735474,3.34604657279799,-0.810135300092901,0.424874904771345,0.705374841901942,-6.05642696300385,"stable","168400"
"4166","DDX54",-0.373206134650553,7.83635012862784,-1.6698931498631,0.106379868944274,0.374009612626217,-5.04728798066999,"stable","79039"
"4167","DDX55",0.0659377092785185,8.44830270963421,0.357625813766504,0.723376095014546,0.887802137637097,-6.31878864773998,"stable","57696"
"4168","DDX56",-0.0380341996876385,9.90926320782564,-0.331704576263051,0.74264785570397,0.897059786097865,-6.32775093934147,"stable","54606"
"4169","DDX58",0.252439498154725,8.831240773969,1.30583699355621,0.202515428074722,0.508959988012871,-5.55045317721466,"stable","23586"
"4170","DDX59",-0.467659861715692,10.6457628594601,-1.9053589326723,0.0673263158120828,0.304677136761751,-4.66902099991975,"stable","83479"
"4171","DDX59-AS1",0.690109531807939,6.06459623063955,1.52662500512891,0.138368860922872,0.424445107568439,-5.25767508540751,"stable","101929224"
