,logFC,AveExpr,t,P.Value,adj.P.Val,B
SMAD9,8.59080055229103,8.67969412329188,53.3659250820992,3.93964791954156e-29,8.22053759726705e-29,56.1700209459072
MGP,9.94851613581382,9.40864990447699,53.3452119557874,3.98119625076595e-29,8.30640225857378e-29,56.1604231721144
FAM149B1,9.27610895478637,9.14883074721005,53.3279872313451,4.01609295143397e-29,8.37837311528156e-29,56.1524383640984
SHC4,7.04489156094863,6.86431919843564,53.315519625059,4.04154954870594e-29,8.43063760474985e-29,56.1466568455114
PI16,7.16737779013717,7.39918193272142,53.3123227659729,4.04810385390484e-29,8.4434655669029e-29,56.1451741235608
ZNF226,9.27580632814086,9.20955395313866,53.2725826857405,4.13050601604131e-29,8.61447730747314e-29,56.1267334355478
MAP1S,7.96454351370287,7.9052396822227,53.2545204603178,4.168531280997e-29,8.69291279329862e-29,56.1183464617714
NMNAT3,7.45837991376541,7.40299690455981,53.2285379920393,4.22386793053834e-29,8.80742956190812e-29,56.1062757695571
CYP2C18,8.62997252258602,8.65993142537961,53.2281495917835,4.22470088420716e-29,8.80828601302517e-29,56.1060952760176
GLRB,8.16277715488752,7.97643615002964,53.2260727203174,4.22915778152223e-29,8.81669727571867e-29,56.1051301056828
RORC,9.4345680321139,9.43991928020748,53.2165576647634,4.24963916115831e-29,8.85851040968072e-29,56.1007076549875
RANGAP1,8.55605682677983,8.51258912264964,53.2045952874046,4.27553439911839e-29,8.91159942395923e-29,56.0951463669133
CEP89,8.45561120244156,8.29847635327484,53.1808490376395,4.32742410077557e-29,9.01885330573227e-29,56.0841022863442
PLEKHA8,8.00076349540919,8.11012242719558,53.1731117947586,4.34447194550729e-29,9.05347854631636e-29,56.080502501668
FBN1,7.8684827391933,7.57965530429637,53.1644449429037,4.3636507137561e-29,9.09253707454852e-29,56.0764694587947
HECTD3,9.3164511457879,9.24461390390322,53.1471697594802,4.40214094614105e-29,9.17182307184605e-29,56.0684282281294
CORO1B,10.5980353169827,10.4844328982977,53.1413928754695,4.41509058124627e-29,9.19788493169159e-29,56.0657385048899
C3orf62,7.42378549701128,7.45574190905273,53.140315416467,4.41751021027342e-29,9.20200679048669e-29,56.0652367996574
RNF26,8.49478168557126,8.33248750962186,53.1330090591707,4.43395425331747e-29,9.23533882115706e-29,56.0618343611451
TSSC4,8.08759730350208,8.0464272557927,53.130327542167,4.44000530782032e-29,9.24701914063567e-29,56.0605854849745
FAM76A,8.37956194224991,8.36910118293964,53.1165607591909,4.47120616759718e-29,9.31107038015696e-29,56.0541726106814
GPR157,8.71773766472225,8.45386609478946,53.0903829888947,4.53116352580236e-29,9.4349868724712e-29,56.0419728667251
TCF7,9.96744997493547,10.0966573123853,53.0815048023965,4.55168676024982e-29,9.47677536849618e-29,56.0378336711638
HID1,7.85556447700543,7.99038605412305,53.0776753503829,4.56056881677773e-29,9.49432059231783e-29,56.0360480420392
ZNF702P,7.18322639272303,7.11173384581905,53.0770162985119,4.56209923678522e-29,9.49655899798575e-29,56.0357407180503
ZBED3,7.19169447714308,7.30382043525913,53.0754139917293,4.56582226041529e-29,9.50336067013706e-29,56.0349935234276
ZNF418,7.74670880087262,7.50104500146437,53.0708908825084,4.57634888359495e-29,9.52432067134457e-29,56.0328841402049
HECTD2,9.07221099764621,9.06051222986505,53.0696632540012,4.57921027826787e-29,9.52932516959844e-29,56.0323115896137
HOXB3,6.46281366203313,6.66830948807033,53.0646534851376,4.590906438444e-29,9.55271196078383e-29,56.029974929772
KCNAB2,8.23423416105131,8.40960835062479,53.061329208193,4.59868461399721e-29,9.56794239724841e-29,56.0284242708053
TTK,7.0322533574021,7.03629743002087,53.0417432632656,4.6447901079031e-29,9.66290498913785e-29,56.0192857237307
MINDY3,10.2782745550766,10.2259489436104,53.0331250690591,4.66522893435428e-29,9.70445767559069e-29,56.0152632921004
H4C3,9.72504966069872,9.71599923640063,53.0231924262893,4.68890075345883e-29,9.75272657214937e-29,56.0106263768457
ZNF92,8.29638787412184,8.52449166124883,53.0181865903216,4.7008779764476e-29,9.77666397613895e-29,56.0082890739019
TNFRSF11A,7.93389425479998,7.87397175141358,53.0131949454717,4.71285281876877e-29,9.80059165721232e-29,56.0059581310226
CLCA4-AS1,6.99621032267993,7.13382491142888,53.0045282297458,4.73371922126336e-29,9.84300312907367e-29,56.0019104132869
CLUHP3,8.57599003745468,8.41585123859537,52.9872269708035,4.77566140431785e-29,9.92922545514043e-29,55.993827607666
PRR3,7.46432308094051,7.20809511775383,52.9869803483934,4.77626204929396e-29,9.92948469081919e-29,55.9937123674718
PRKD1,8.26836670915968,7.9850433749627,52.9778659742371,4.79851496229718e-29,9.97475280424907e-29,55.989453003802
SH2B2,8.7520437240795,9.07810051812185,52.9665988878909,4.82617235115132e-29,1.00312451519098e-28,55.9841864008228
TMEM229B,8.28212601450995,8.16925351152535,52.9579478135963,4.84752028652073e-29,1.00746132912329e-28,55.9801416869853
OGDH,9.02519483621585,9.02866927477808,52.9500478939821,4.86710011034839e-29,1.0114298486113e-28,55.9764474688202
EDAR,6.89349836172651,7.24352897505425,52.9452653760978,4.87899331411436e-29,1.01380038365591e-28,55.9742107087989
SMCHD1,9.14149404976747,9.10870088853946,52.9293113236785,4.91888625806471e-29,1.02198790076433e-28,55.9667473091276
BRAT1,7.99338851060702,7.9466106085615,52.9204370945609,4.94122233648438e-29,1.02652639298683e-28,55.9625947145691
SH2B3,8.29993253273557,8.29617034796309,52.9140900944598,4.95726193332884e-29,1.02975603358664e-28,55.9596241914076
PDE4DIP,10.6178549322661,10.4936007932248,52.9040454678658,4.98275620815671e-29,1.03494882531427e-28,55.954922224191
MED22,8.06725829455569,7.95723715312015,52.8961662939889,5.00284941926118e-29,1.03901886097189e-28,55.9512331663893
PTAFR,9.46971960082565,9.75391886611309,52.8938280539462,5.00882846546234e-29,1.04015707193386e-28,55.9501382660436
TMCO5A,7.28788249050549,7.73100092855171,52.8824234038672,5.03809729123188e-29,1.04613104100408e-28,55.9447971046936
SCN4B,9.40932046229055,9.26978702887329,52.8703573651241,5.06925652415118e-29,1.05249631376236e-28,55.9391446773182
ERBB4,10.1918796532106,10.2709843214188,52.867305069009,5.07717035175931e-29,1.05403450968656e-28,55.9377145588487
TRIM3,8.41332685229579,8.53738952825806,52.8577694481398,5.10197637299968e-29,1.05907891635343e-28,55.9332461094411
GIPC2,9.22392483105602,9.03633636261797,52.8421506558984,5.14287888700034e-29,1.06746333042086e-28,55.925924943314
ZBTB37,8.42909487099068,8.55048677324577,52.8345372530325,5.16293992868932e-29,1.07152062069555e-28,55.9223552818321
KLF11,7.78055810558884,7.77547428686477,52.8252933521882,5.18740632757138e-29,1.07649130414597e-28,55.9180203002882
DUBR,9.83302065855787,9.93213605028688,52.8213972773711,5.19775427151415e-29,1.07853142642061e-28,55.9161929384505
MAPK7,7.75466554576161,7.63379862496114,52.8196362713771,5.20243850701568e-29,1.07939604309658e-28,55.9153669267351
CDCA3,7.07717507159722,7.05183411030748,52.8120068764109,5.22278311167561e-29,1.08350936033986e-28,55.911787923133
FRMD4B,8.99671538017632,9.18640065909196,52.8051874477762,5.24103763720808e-29,1.08718829857249e-28,55.9085883515512
LTBP1,8.1737835240363,7.8207222871077,52.8047987366943,5.24208014469242e-29,1.08729644043123e-28,55.9084059592144
KLHDC1,9.0149220888686,8.9212243541566,52.8043863907342,5.24318627486809e-29,1.08741775590315e-28,55.9082124750659
PRPF39,8.96345935977449,8.84621472543764,52.8024622214337,5.24835111443407e-29,1.08838072514238e-28,55.9073095773785
PIK3R1,9.28079357447123,9.31028934962919,52.8001272092453,5.25462581717938e-29,1.08957363878338e-28,55.9062138422621
MAP3K14,7.73817800998666,7.66238150580921,52.7952650746068,5.26771642676981e-29,1.09217948812633e-28,55.9039320338232
ZNF606,10.3046211391737,10.278649476854,52.7938216944442,5.27160902577645e-29,1.09287794391085e-28,55.9032546040578
LGALS8-AS1,7.42770005302521,7.31273428606355,52.7913013736843,5.27841313483463e-29,1.09417979748529e-28,55.9020716740137
CASC15,7.68724155805155,7.90665303515946,52.7893058328174,5.28380695131813e-29,1.0951890771823e-28,55.9011350046422
LEMD2,8.10360883295324,8.14446927718328,52.7745387853742,5.32389926493872e-29,1.10338949399117e-28,55.8942023000324
CAPN3,8.95192707660243,9.13843463512427,52.759188347976,5.36590978927595e-29,1.1119857954095e-28,55.8869932254044
GXYLT2,8.94695865862638,8.93761632003074,52.7470879421337,5.39926780765778e-29,1.11878749506711e-28,55.8813086869657
SYNM,8.34988240531501,8.24742840259761,52.7444074853522,5.40668623862666e-29,1.12021341056937e-28,55.8800492466573
